203М ; Stantsiya Knyazevka ; Stantsiya Kchery ; 2023-07-01-04:53 ; 2023-07-01-09:53 ; 2518.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-06-28-14:32 ; 2023-06-29-04:39 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-06-30-22:55 ; 2023-07-01-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-07-01-15:52 ; 2023-07-02-05:59 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-07-03-22:55 ; 2023-07-04-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-07-04-13:42 ; 2023-07-05-03:49 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-07-06-22:55 ; 2023-07-07-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-07-07-14:10 ; 2023-07-08-04:17 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-07-09-22:55 ; 2023-07-10-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-07-10-15:51 ; 2023-07-11-05:58 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-07-12-22:55 ; 2023-07-13-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-07-13-15:45 ; 2023-07-14-05:52 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-07-15-22:55 ; 2023-07-16-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-07-16-15:46 ; 2023-07-17-05:53 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-07-18-22:55 ; 2023-07-19-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-07-19-14:39 ; 2023-07-20-04:46 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-07-21-22:55 ; 2023-07-22-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-07-22-15:23 ; 2023-07-23-05:30 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-07-24-22:55 ; 2023-07-25-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-07-25-15:13 ; 2023-07-26-05:20 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-07-27-22:55 ; 2023-07-28-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-07-28-14:11 ; 2023-07-29-04:18 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-07-30-22:55 ; 2023-07-31-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-07-31-16:03 ; 2023-08-01-06:10 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-08-02-22:55 ; 2023-08-03-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-08-03-15:26 ; 2023-08-04-05:33 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-08-05-22:55 ; 2023-08-06-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-08-06-13:47 ; 2023-08-07-03:54 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-08-08-22:55 ; 2023-08-09-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-08-09-16:00 ; 2023-08-10-06:07 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-08-11-22:55 ; 2023-08-12-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-08-12-13:34 ; 2023-08-13-03:41 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-08-14-22:55 ; 2023-08-15-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-08-15-15:24 ; 2023-08-16-05:31 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-08-17-22:55 ; 2023-08-18-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-08-18-14:03 ; 2023-08-19-04:10 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-08-20-22:55 ; 2023-08-21-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-08-21-15:42 ; 2023-08-22-05:49 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-08-23-22:55 ; 2023-08-24-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-08-24-15:08 ; 2023-08-25-05:15 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-08-26-22:55 ; 2023-08-27-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-08-27-13:58 ; 2023-08-28-04:05 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-08-29-22:55 ; 2023-08-30-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-08-30-15:33 ; 2023-08-31-05:40 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-09-01-22:55 ; 2023-09-02-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-09-02-15:16 ; 2023-09-03-05:23 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-09-04-22:55 ; 2023-09-05-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-09-05-15:02 ; 2023-09-06-05:09 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-09-07-22:55 ; 2023-09-08-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-09-08-15:15 ; 2023-09-09-05:22 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-09-10-22:55 ; 2023-09-11-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-09-11-15:04 ; 2023-09-12-05:11 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-09-13-22:55 ; 2023-09-14-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-09-14-16:03 ; 2023-09-15-06:10 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-09-16-22:55 ; 2023-09-17-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-09-17-13:52 ; 2023-09-18-03:59 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-09-19-22:55 ; 2023-09-20-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-09-20-14:28 ; 2023-09-21-04:35 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-09-22-22:55 ; 2023-09-23-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-09-23-14:02 ; 2023-09-24-04:09 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-09-25-22:55 ; 2023-09-26-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-09-26-14:26 ; 2023-09-27-04:33 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-09-28-22:55 ; 2023-09-29-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-09-29-15:08 ; 2023-09-30-05:15 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-10-01-22:55 ; 2023-10-02-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-10-02-15:34 ; 2023-10-03-05:41 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-10-04-22:55 ; 2023-10-05-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-10-05-15:24 ; 2023-10-06-05:31 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-10-07-22:55 ; 2023-10-08-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-10-08-15:37 ; 2023-10-09-05:44 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-10-10-22:55 ; 2023-10-11-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-10-11-13:54 ; 2023-10-12-04:01 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-10-13-22:55 ; 2023-10-14-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-10-14-15:31 ; 2023-10-15-05:38 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-10-16-22:55 ; 2023-10-17-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-10-17-14:44 ; 2023-10-18-04:51 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-10-19-22:55 ; 2023-10-20-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-10-20-15:19 ; 2023-10-21-05:26 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-10-22-22:55 ; 2023-10-23-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-10-23-15:52 ; 2023-10-24-05:59 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-10-25-22:55 ; 2023-10-26-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-10-26-14:00 ; 2023-10-27-04:07 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-10-28-22:55 ; 2023-10-29-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-10-29-13:54 ; 2023-10-30-04:01 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-10-31-22:55 ; 2023-11-01-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-11-01-15:15 ; 2023-11-02-05:22 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-11-03-22:55 ; 2023-11-04-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-11-04-14:24 ; 2023-11-05-04:31 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-11-06-22:55 ; 2023-11-07-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-11-07-15:29 ; 2023-11-08-05:36 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-11-09-22:55 ; 2023-11-10-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-11-10-13:51 ; 2023-11-11-03:58 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-11-12-22:55 ; 2023-11-13-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-11-13-14:19 ; 2023-11-14-04:26 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-11-15-22:55 ; 2023-11-16-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-11-16-14:34 ; 2023-11-17-04:41 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-11-18-22:55 ; 2023-11-19-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-11-19-14:36 ; 2023-11-20-04:43 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-11-21-22:55 ; 2023-11-22-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-11-22-15:27 ; 2023-11-23-05:34 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-11-24-22:55 ; 2023-11-25-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-11-25-13:50 ; 2023-11-26-03:57 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-11-27-22:55 ; 2023-11-28-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-11-28-15:30 ; 2023-11-29-05:37 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-11-30-22:55 ; 2023-12-01-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-12-01-14:55 ; 2023-12-02-05:02 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-12-03-22:55 ; 2023-12-04-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-12-04-13:55 ; 2023-12-05-04:02 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-12-06-22:55 ; 2023-12-07-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-12-07-15:02 ; 2023-12-08-05:09 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-12-09-22:55 ; 2023-12-10-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-12-10-14:53 ; 2023-12-11-05:00 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-12-12-22:55 ; 2023-12-13-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-12-13-13:40 ; 2023-12-14-03:47 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-12-15-22:55 ; 2023-12-16-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-12-16-16:03 ; 2023-12-17-06:10 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-12-18-22:55 ; 2023-12-19-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-12-19-14:12 ; 2023-12-20-04:19 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-12-21-22:55 ; 2023-12-22-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-12-22-13:50 ; 2023-12-23-03:57 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-12-24-22:55 ; 2023-12-25-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-12-25-14:12 ; 2023-12-26-04:19 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-12-27-22:55 ; 2023-12-28-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-12-28-15:39 ; 2023-12-29-05:46 ; 6100.0
371Ю ; Stantsiya Ust’-Tal’menskaya ; Stantsiya Likhaya ; 2023-12-30-22:55 ; 2023-12-31-13:03 ; 6100.0
372И ; Stantsiya Likhaya ; Stantsiya Ust’-Tal’menskaya ; 2023-12-31-14:46 ; 2024-01-01-04:53 ; 6100.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-02-06-09:15 ; 2023-02-06-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-02-06-15:01 ; 2023-02-06-18:57 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-02-09-09:15 ; 2023-02-09-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-02-09-15:18 ; 2023-02-09-19:14 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-02-12-09:15 ; 2023-02-12-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-02-12-15:55 ; 2023-02-12-19:51 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-02-15-09:15 ; 2023-02-15-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-02-15-14:16 ; 2023-02-15-18:12 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-02-18-09:15 ; 2023-02-18-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-02-18-14:57 ; 2023-02-18-18:53 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-02-21-09:15 ; 2023-02-21-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-02-21-14:00 ; 2023-02-21-17:56 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-02-24-09:15 ; 2023-02-24-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-02-24-14:20 ; 2023-02-24-18:16 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-02-27-09:15 ; 2023-02-27-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-02-27-16:07 ; 2023-02-27-20:03 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-03-02-09:15 ; 2023-03-02-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-03-02-14:43 ; 2023-03-02-18:39 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-03-05-09:15 ; 2023-03-05-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-03-05-14:00 ; 2023-03-05-17:56 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-03-08-09:15 ; 2023-03-08-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-03-08-15:45 ; 2023-03-08-19:41 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-03-11-09:15 ; 2023-03-11-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-03-11-14:19 ; 2023-03-11-18:15 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-03-14-09:15 ; 2023-03-14-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-03-14-15:07 ; 2023-03-14-19:03 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-03-17-09:15 ; 2023-03-17-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-03-17-15:20 ; 2023-03-17-19:16 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-03-20-09:15 ; 2023-03-20-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-03-20-15:17 ; 2023-03-20-19:13 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-03-23-09:15 ; 2023-03-23-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-03-23-16:09 ; 2023-03-23-20:05 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-03-26-09:15 ; 2023-03-26-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-03-26-15:30 ; 2023-03-26-19:26 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-03-29-09:15 ; 2023-03-29-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-03-29-16:06 ; 2023-03-29-20:02 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-04-01-09:15 ; 2023-04-01-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-04-01-14:53 ; 2023-04-01-18:49 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-04-04-09:15 ; 2023-04-04-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-04-04-14:38 ; 2023-04-04-18:34 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-04-07-09:15 ; 2023-04-07-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-04-07-15:52 ; 2023-04-07-19:48 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-04-10-09:15 ; 2023-04-10-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-04-10-15:03 ; 2023-04-10-18:59 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-04-13-09:15 ; 2023-04-13-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-04-13-15:20 ; 2023-04-13-19:16 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-04-16-09:15 ; 2023-04-16-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-04-16-14:26 ; 2023-04-16-18:22 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-04-19-09:15 ; 2023-04-19-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-04-19-14:40 ; 2023-04-19-18:36 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-04-22-09:15 ; 2023-04-22-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-04-22-15:22 ; 2023-04-22-19:18 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-04-25-09:15 ; 2023-04-25-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-04-25-15:45 ; 2023-04-25-19:41 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-04-28-09:15 ; 2023-04-28-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-04-28-15:43 ; 2023-04-28-19:39 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-05-01-09:15 ; 2023-05-01-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-05-01-16:08 ; 2023-05-01-20:04 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-05-04-09:15 ; 2023-05-04-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-05-04-14:51 ; 2023-05-04-18:47 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-05-07-09:15 ; 2023-05-07-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-05-07-14:54 ; 2023-05-07-18:50 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-05-10-09:15 ; 2023-05-10-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-05-10-14:32 ; 2023-05-10-18:28 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-05-13-09:15 ; 2023-05-13-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-05-13-14:54 ; 2023-05-13-18:50 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-05-16-09:15 ; 2023-05-16-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-05-16-13:47 ; 2023-05-16-17:43 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-05-19-09:15 ; 2023-05-19-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-05-19-13:46 ; 2023-05-19-17:42 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-05-22-09:15 ; 2023-05-22-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-05-22-14:35 ; 2023-05-22-18:31 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-05-25-09:15 ; 2023-05-25-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-05-25-14:52 ; 2023-05-25-18:48 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-05-28-09:15 ; 2023-05-28-13:12 ; 1984.0
